Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Carol Levasseur,F,SBD,Raw,65,65-69,60-69,FR-O,68.6,69,75,82.5,90,,90,60,-65,65,,65,95,102.5,110,,110,265,2,271.06,267.37,235.79,55.08,Yes,USA,MA,AMP,IPF,2/18/2024,USA,NH,Dover,Nor'East Winter Challenge,Yes
Carol Levasseur,F,SBD,Raw,65,65-69,60-69,FR-M3,68.6,69,75,82.5,90,,90,60,-65,65,,65,95,102.5,110,,110,265,1,271.06,267.37,235.79,55.08,Yes,USA,MA,AMP,IPF,2/18/2024,USA,NH,Dover,Nor'East Winter Challenge,Yes
Alma Kimura,F,SBD,Raw,69,65-69,60-69,FR-M3,67.65,69,92.5,100,105,,105,47.5,52.5,55,,55,125,132.5,137.5,,137.5,297.5,1,306.74,303.15,267.41,62.33,Yes,USA,WA,AMP,IPF,10/28/2023,USA,WA,Vancouver,Kilo Massacre,Yes
Linda Rousseau,F,B,Raw,68.5,65-69,60-69,FR-M3,81.84,84,,,,,,55,57.5,62.5,,62.5,,,,,,62.5,1,58.23,56.49,49.47,46.94,Yes,USA,FL,AMP,IPF,12/11/2022,USA,FL,,31st Annual Florida Sports Foundation Senior Games,Yes
Tina Weber,F,SBD,Raw,66,65-69,60-69,FR-M3,68.49,69,105,110,115,,115,62.5,67.5,70,,70,120,130,137.5,,137.5,322.5,1,330.18,325.76,287.29,67.09,Yes,USA,FL,AMP,IPF,12/11/2022,USA,FL,,31st Annual Florida Sports Foundation Senior Games,Yes
Linda Rousseau,F,SBD,Raw,68.5,65-69,60-69,FR-M3,81.84,84,-105,105,115,,115,55,57.5,62.5,,62.5,105,115,125,,125,302.5,1,281.86,273.39,239.43,57.73,Yes,USA,FL,AMP,IPF,12/11/2022,USA,FL,,31st Annual Florida Sports Foundation Senior Games,Yes
Dora Justice,F,SBD,Raw,65,65-69,60-69,FR-M3,56.5,57,70,77.5,82.5,,82.5,67.5,72.5,-78,,72.5,97.5,107.5,112.5,,112.5,267.5,1,308.25,312.56,276.42,63.16,Yes,USA,TX,AMP,IPF,6/2/2023,USA,,,Classic Junior and Masters Nationals,Yes
Vicki Brackett,F,SBD,Raw,65,65-69,60-69,FR-M3,126.1,84+,-120,120,-130,,120,72.5,77.5,78,,78,155,-165,165,,165,363,1,287.48,287.74,243.17,61.74,Yes,USA,GA,AMP,IPF,6/2/2023,USA,,,Classic Junior and Masters Nationals,Yes
Clare Suhanich,F,SBD,Raw,67,65-69,60-69,FR-M3,76.4,84,70,80,90,,90,45,50,52.5,,52.5,82.5,92.5,102.5,,102.5,245,1,236.32,230.27,202.4,48.18,Yes,USA,PA,AMP,IPF,4/15/2023,USA,PA,,Pennsylvania States,Yes
Clare Suhanich,F,SBD,Raw,66,65-69,60-69,FR-M3,74.6,76,82.5,87.5,-92.5,,87.5,50,55,-57.5,,55,90,97.5,105,,105,247.5,1,241.74,236.08,207.71,49.23,Yes,USA,PA,AMP,IPF,4/23/2022,USA,PA,Clarks Summit,Throw Down at Brown's,Yes
Deborah Fox,F,SBD,Raw,67,65-69,60-69,FR-M3,55.4,57,55,60,-67.5,,60,25,27.5,-35,,27.5,75,87.5,-95,,87.5,175,1,204.3,207.65,183.72,41.95,Yes,USA,MD,AMP,IPF,2/3/2024,USA,MD,North Bethesda,DMV Championships,Yes
Deborah Fox,F,SBD,Raw,67,65-69,60-69,FR-O,55.4,57,55,60,-67.5,,60,25,27.5,-35,,27.5,75,87.5,-95,,87.5,175,1,204.3,207.65,183.72,41.95,Yes,USA,MD,AMP,IPF,2/3/2024,USA,MD,North Bethesda,DMV Championships,Yes
Lucila McMahon,F,SBD,Multi-ply,69,65-69,60-69,M 65-69,46.7,48,52.5,57.5,-60,,57.5,35,40,-52.5,,40,70,75,80,,80,177.5,1,233.73,239.82,213.89,39.08,,USA,,WUAP,WUAP,9/22/2011,USA,GA,Atlanta,World Championships,Yes
Evangeline Keresey,F,SBD,Multi-ply,66,65-69,60-69,M 65-69,60,60,,,,,125,,,,,82.5,,,,,160,367.5,1,407.39,409.72,362.01,68.26,,USA,,APC,WUAP,6/24/2007,USA,GA,Marietta,Nationals,Yes
Karen Bakke,F,SBD,Raw,67,65-69,60-69,M65-69,59.3,60,90,102.5,110,,110,55,-60,-60,,55,100,107.5,-115,,107.5,272.5,1,304.33,306.59,270.93,62.1,Yes,USA,ND,XPC,XPC,9/30/2023,USA,ND,Fargo,North Dakota Open,Yes
Karen Bakke,F,SBD,Raw,67,65-69,60-69,M65-69,59.3,60,-90,102.5,110,,110,52.5,55,57.5,,57.5,100,112.5,117.5,,117.5,285,1,318.29,320.65,283.36,64.95,,USA,ND,XPC,XPC,1/13/2024,USA,ND,Fargo,Shield Maiden,Yes
Karen Bakke,F,SBD,Raw,67,65-69,60-69,Open,59.3,60,-90,102.5,110,,110,52.5,55,57.5,,57.5,100,112.5,117.5,,117.5,285,1,318.29,320.65,283.36,64.95,,USA,ND,XPC,XPC,1/13/2024,USA,ND,Fargo,Shield Maiden,Yes
Maureen Clary,F,BD,Raw,67,65-69,60-69,M65-69,73.12,75,,,,,,86.18,92.99,-97.52,,92.99,136.08,147.42,156.49,,156.49,249.48,1,246.31,241.04,212.22,,,USA,SC,XPC,XPC,3/1/2024,USA,OH,Columbus,Worlds - Arnold,Yes
Ellen Stein,F,SBD,Wraps,66,65-69,60-69,Pro,59.69,60,,,,,170.1,,,,,92.99,,,,,197.31,460.4,2,512.05,515.36,455.38,104.45,,USA,,XPC,XPC,3/2/2019,USA,OH,Columbus,Pro Finals,Yes
Ellen Stein,F,SBD,Wraps,67,65-69,60-69,Pro,60.33,67.5,161.03,172.37,183.7,,183.7,88.45,95.25,97.52,,97.52,174.63,188.24,201.85,,201.85,483.08,1,533.67,536.3,473.81,108.78,,USA,,XPC,XPC,3/7/2020,USA,OH,Columbus,Arnold,Yes
Ellen Stein,F,SBD,Wraps,65,65-69,60-69,Pro,58.88,60,,,,,176.9,,,,,92.99,,,,,195.04,464.93,1,521.6,525.99,464.86,106.5,,USA,,XPC,XPC,3/2/2018,USA,OH,Columbus,Finals,Yes
Linda Lefler,F,SBD,Raw,66.5,65-69,60-69,FR-M3b,67.4,72,37.5,42.5,47.5,,47.5,35,37.5,40,,40,-50,-50,50,,50,137.5,1,142.08,140.48,123.93,28.87,Yes,USA,IL,USAPL,IPF,3/10/2018,USA,IA,,Quad City Throw Down,Yes
Karen Baldwin,F,SBD,Raw,66.5,65-69,60-69,FR-M3,58.9,60,-55,-55,-55,,,42.5,45,47.5,,47.5,80,-85,-90,,80,,DQ,,,,,Yes,USA,NC,USAPL,,6/17/2023,USA,NC,,Southeast Regionals,Yes
Cindy Goodrich,F,SBD,Single-ply,66,65-69,60-69,F-M,49.74,,100,105,110,,110,-65,65,70,,70,110,115,-125,,115,295,6,371.02,380.47,337.93,61.99,Yes,USA,WA,USAPL,,3/2/2024,USA,OH,,Arnold Masters Pro Series Finals,Yes
Deborah Mazzullo,F,SBD,Raw,66.5,65-69,60-69,FR-M,65.51,,112.5,117.5,120,,120,67.5,70,-72.5,,70,145,-150,-150,,145,335,8,351.95,349.43,308.39,71.53,Yes,USA,NC,USAPL,,3/2/2024,USA,OH,,Arnold Masters Pro Series Finals,Yes
Janice Francis,F,SBD,Raw,68.5,65-69,60-69,FR-M,79.05,,115,120,122.5,,122.5,82.5,87.5,91,,91,145,152.5,157.5,,157.5,371,9,351.67,341.76,299.91,71.85,Yes,USA,NY,USAPL,,3/2/2024,USA,OH,,Arnold Masters Pro Series Finals,Yes
Ann Whitmarsh,F,B,Raw,67.5,65-69,60-69,FR-M3,63.36,69,,,,,,30,32.5,35,,35,,,,,,35,2,37.51,37.43,33.05,29.11,Yes,USA,FL,USAPL,IPF,6/14/2021,USA,FL,Daytona Beach,Raw Bench Nationals,Yes
Ann Whitmarsh,F,B,Single-ply,68.5,65-69,60-69,F-M3,62.04,67.5,,,,,,37.5,42.5,45,,45,,,,,,45,1,48.86,48.9,43.18,27.42,Yes,USA,FL,USAPL,,7/2/2022,USA,FL,,UBU Orlando Expo,Yes
Ann Whitmarsh,F,SBD,Single-ply,68.5,65-69,60-69,F-M3,62.04,67.5,72.5,77.5,82.5,,82.5,37.5,42.5,45,,45,92.5,100,102.5,,102.5,230,1,249.71,249.91,220.72,41.89,Yes,USA,FL,USAPL,,7/2/2022,USA,FL,,UBU Orlando Expo,Yes
Karen Baldwin,F,SBD,Raw,67.5,65-69,60-69,FR-M3,58.72,60,45,47.5,50,,50,37.5,40,42.5,,42.5,80,85,90,,90,182.5,1,205.1,206.91,182.87,41.88,Yes,USA,NC,USAPL,,3/23/2024,USA,NC,,North Carolina State Championships,Yes
Catherine Innes,F,SBD,Raw,65.5,65-69,60-69,FR-M3,77,84,85,-90,90,,90,52.5,55,-57.5,,55,127.5,132.5,137.5,,137.5,282.5,1,271.39,264.26,232.2,55.36,Yes,USA,NJ,USAPL,IPF,9/23/2018,USA,NJ,,New Jersey Heavy Metal Classic,Yes
Linda Gorham,F,SBD,Raw,65,65-69,60-69,FR-M3b,83.2,84,70,75,80,,80,50,55,57.5,,57.5,100,115,127.5,,127.5,265,1,244.96,237.46,207.73,50.23,Yes,USA,MD,USAPL,IPF,5/13/2017,USA,MD,,Maryland State Championships,Yes
Linda Gorham,F,SBD,Raw,65,65-69,60-69,FR-O,83.2,84,70,75,80,,80,50,55,57.5,,57.5,100,115,127.5,,127.5,265,9,244.96,237.46,207.73,50.23,Yes,USA,MD,USAPL,IPF,5/13/2017,USA,MD,,Maryland State Championships,Yes
Barbara Zappia,F,BD,Raw,65.5,65-69,60-69,FR-M3,56.9,60,,,,,,42.5,45,-47.5,,45,95,102.5,107.5,,107.5,152.5,1,174.92,177.2,156.7,,Yes,USA,IN,USAPL,,9/24/2022,USA,MI,,Michigan Rookie Rumble,Yes
Carol Walczy,F,SBD,Raw,66.5,65-69,60-69,FR-M3b,46.4,48,-35,35,37.5,,37.5,20,-25,-25,,20,57.5,60,65,,65,122.5,1,162.08,166.27,148.37,34.4,Yes,USA,MI,USAPL,,12/9/2023,USA,MI,,Michigan Rookie Rumble,Yes
Susan Paxson,F,B,Raw,68.5,65-69,60-69,FR-M3b,87.35,90,,,,,,50,-55,-55,,50,,,,,,50,1,45.18,43.77,38.14,36.97,Yes,USA,FL,USAPL,,4/16/2022,USA,FL,,6th Annual Capital City Barbell Championships,Yes
Susan Paxson,F,B,Raw,68.5,65-69,60-69,FR-O,87.35,90,,,,,,50,-55,-55,,50,,,,,,50,1,45.18,43.77,38.14,36.97,Yes,USA,FL,USAPL,,4/16/2022,USA,FL,,6th Annual Capital City Barbell Championships,Yes
Susan Samuel,F,SBD,Raw,69.5,65-69,70-999,FR-M4,57.3,60,47.5,-52.5,55,,55,30,35,-40,,35,62.5,75,85,,85,175,1,199.81,202.24,178.81,40.89,Yes,USA,MI,USAPL,,11/5/2022,USA,MI,,Michigan State Championships,Yes
Debee Alex,F,SBD,Raw,66.5,65-69,60-69,FR-M3,82.8,84,57.5,60,-65,,60,37.5,-40,40,,40,70,-75,-75,,70,170,1,157.51,152.71,133.64,32.29,Yes,USA,MO,USAPL,IPF,6/4/2016,USA,MO,,Missouri State Open,Yes
Dorothy O'Keefe,F,SBD,Raw,65.5,65-69,60-69,FR-M3,53.6,56,-42.5,-47.5,47.5,,47.5,32.5,-37.5,-37.5,,32.5,77.5,-85,,,77.5,157.5,1,188.01,191.78,169.82,38.77,Yes,USA,VA,USAPL,,2/18/2023,USA,VA,,Virginia River City Rampage,Yes
Sandra Simmons,F,SBD,Raw,69,65-69,60-69,FR-M3,56.85,57,52.5,55,57.5,,57.5,40,42.5,-47.5,,42.5,45,50,55,,55,155,1,177.89,180.23,159.38,36.43,Yes,USA,FL,USAPL,IPF,10/10/2017,USA,FL,Orlando,Raw National Championships,Yes
Denise Thomas,F,SBD,Raw,66.5,65-69,60-69,FR-M3,62.92,63,80,-82.5,-82.5,,80,40,42.5,45,,45,107.5,112.5,117.5,,117.5,242.5,1,261.01,260.69,230.19,53.1,Yes,USA,NH,USAPL,IPF,10/10/2017,USA,FL,Orlando,Raw National Championships,Yes
Leslie Macko,F,SBD,Raw,67,65-69,60-69,FR-M3,60.91,63,57.5,62.5,-67.5,,62.5,37.5,40,-42.5,,40,85,90,95,,95,197.5,3,216.88,217.64,192.26,44.18,Yes,USA,WA,USAPL,IPF,10/10/2017,USA,FL,Orlando,Raw National Championships,Yes
Sandra Kasabuske,F,SBD,Raw,68.5,65-69,60-69,FR-M3,64.21,72,62.5,67.5,72.5,,72.5,37.5,40,-42.5,,40,92.5,100,-107.5,,100,212.5,5,225.93,224.97,198.61,45.93,Yes,USA,WI,USAPL,IPF,10/10/2017,USA,FL,Orlando,Raw National Championships,Yes
Linda Gorham,F,SBD,Raw,65,65-69,60-69,FR-M3,82.68,84,90,97.5,-102.5,,97.5,-55,55,-62.5,,55,122.5,130,-135,,130,282.5,3,261.92,253.95,222.26,53.69,Yes,USA,MD,USAPL,IPF,10/10/2017,USA,FL,Orlando,Raw National Championships,Yes
Sonya Stevenson,F,SBD,Raw,65.5,65-69,60-69,FR-M3,91.07,84+,85,95,100,,100,60,-65,-65,,60,110,117.5,122.5,,122.5,282.5,3,250.55,242.93,210.91,51.82,Yes,USA,MO,USAPL,IPF,10/10/2017,USA,FL,Orlando,Raw National Championships,Yes
Susan Elwyn,F,SBD,Raw,69.5,65-69,70-999,FR-M4,45.96,47,65,75,80,,80,32.5,37.5,-38.5,,37.5,100,112.5,117.5,,117.5,235,1,313.15,321.14,286.8,66.63,Yes,USA,FL,USAPL,IPF,10/10/2017,USA,FL,Orlando,Raw National Championships,Yes
Gale Williams,F,SBD,Raw,69.5,65-69,70-999,FR-M4,61.47,63,57.5,62.5,67.5,,67.5,42.5,47.5,-50,,47.5,97.5,107.5,115,,115,230,2,251.13,251.68,222.31,51.14,Yes,USA,GA,USAPL,IPF,10/10/2017,USA,FL,Orlando,Raw National Championships,Yes
Patricia Kroken,F,SBD,Raw,69.5,65-69,70-999,FR-M4,83.6,84,-75,75,82.5,,82.5,30,32.5,-37.5,,32.5,97.5,102.5,-107.5,,102.5,217.5,2,200.59,194.42,170.03,41.15,Yes,USA,NM,USAPL,IPF,10/10/2017,USA,FL,Orlando,Raw National Championships,Yes
Lynn Waishwell,F,SBD,Raw,68.5,65-69,60-69,FR-M3,107.5,100+,27.5,-30,30,,30,30,-32.5,-32.5,,30,80,82.5,87.5,,87.5,147.5,1,122.55,120.53,102.68,25.84,Yes,USA,WI,USAPL,,6/18/2022,USA,WI,,Badger Open,Yes
Susan Paxson,F,SBD,Raw,69,65-69,60-69,FR-M3,89.05,90,82.5,90,-97.5,,90,47.5,50,-52.5,,50,117.5,125,132.5,,132.5,272.5,1,244.09,236.51,205.78,50.36,Yes,USA,FL,USAPL,,12/3/2022,USA,FL,,Florida State Championships,Yes
Dianne Wamsley,F,SBD,Raw,66.5,65-69,60-69,FR-M3,68.05,75,105,112.5,117.5,,117.5,55,60,62.5,,62.5,125,132.5,140,,140,320,1,328.83,324.71,286.4,66.81,Yes,USA,NY,USAPL,,5/20/2023,USA,NY,,Rocky Rumble,Yes
Dianne Wamsley,F,SBD,Raw,66.5,65-69,60-69,FR-O,68.05,75,105,112.5,117.5,,117.5,55,60,62.5,,62.5,125,132.5,140,,140,320,1,328.83,324.71,286.4,66.81,Yes,USA,NY,USAPL,,5/20/2023,USA,NY,,Rocky Rumble,Yes
Janice Francis,F,SBD,Raw,66.5,65-69,60-69,FR-M3,80.45,,105,110,-115,,110,65,70,75,,75,130,135,140,,140,325,5,305.38,296.46,259.9,62.47,Yes,USA,NY,USAPL,,3/4/2022,USA,OH,Columbus,Arnold Masters of Iron Pro,Yes
Jane Hanisch,F,SBD,Raw,66.5,65-69,60-69,FR-M3,74.64,,82.5,87.5,92.5,,92.5,50,55,-57.5,,55,102.5,112.5,-117.5,,112.5,260,7,253.88,247.92,218.12,51.71,Yes,USA,KS,USAPL,,3/4/2022,USA,OH,Columbus,Arnold Masters of Iron Pro,Yes
Carol Dorsey,F,SD,Raw,66.5,65-69,60-69,FR-M3b,54.9,57,,,,,57.5,,,,,,,,,,80,137.5,1,161.5,164.32,145.41,,Yes,USA,,USAPL,IPF,12/12/2014,USA,MA,,American Open,Yes
Helen White,F,B,Raw,69,65-69,60-69,FR-O,59.4,63,,,,,,,,,,57.5,,,,,,57.5,1,64.15,64.61,57.09,49.72,Yes,USA,,USAPL,IPF,12/12/2014,USA,MA,,American Open,Yes
Helen White,F,SBD,Raw,69,65-69,60-69,FR-M3b,59.4,63,,,,,82.5,,,,,57.5,,,,,75,215,1,239.86,241.58,213.47,48.94,Yes,USA,,USAPL,IPF,12/12/2014,USA,MA,,American Open,Yes
Margaret Batcheler,F,SBD,Raw,65.5,65-69,60-69,FR-M3b,78.1,84,95,100,102.5,,102.5,-47.5,-47.5,-47.5,,,102.5,107.5,115,,115,,DQ,,,,,Yes,USA,TN,USAPL,IPF,4/29/2017,USA,TN,,Tennessee State Championship,Yes
Margaret Batcheler,F,SBD,Raw,65.5,65-69,60-69,FR-O,78.1,84,95,100,102.5,,102.5,-47.5,-47.5,-47.5,,,102.5,107.5,115,,115,,DQ,,,,,Yes,USA,TN,USAPL,IPF,4/29/2017,USA,TN,,Tennessee State Championship,Yes
Anne Mangione,F,SBD,Raw,66.5,65-69,60-69,FR-M3,65.6,72,32.5,-37.5,42.5,,42.5,30,32.5,35,,35,60,65,70,,70,147.5,1,154.84,153.7,135.64,31.47,Yes,USA,NY,USAPL,IPF,7/28/2018,USA,NY,,Buffalo Sports Expo,Yes
Malinda French,F,SBD,Raw,65.5,65-69,60-69,FR-M3b,56.3,57,72.5,77.5,80,,80,-40,42.5,-47.5,,42.5,110,115,120,,120,242.5,1,280.1,284.13,251.3,57.42,Yes,USA,CA,USAPL,IPF,11/6/2021,USA,CA,,San Diego Validus Open III,Yes
Ann Russell,F,SBD,Raw,68.5,65-69,60-69,FR-M3,68.5,75,77.5,82.5,85,,85,50,52.5,55,,55,110,117.5,125,,125,265,1,271.29,267.65,236.04,55.12,Yes,USA,GA,USAPL,,2/17/2023,USA,GA,,Georgia State Championships,Yes
Linda Kephart,F,SBD,Raw,65.5,65-69,60-69,FR-M3,55.49,57,97.5,100,102.5,,102.5,55,-57.5,-57.5,,55,120,130,-130.5,,130,287.5,1,335.28,340.71,301.43,68.84,Yes,USA,MD,USAPL,IPF,10/16/2019,USA,IL,Lombard,Raw Nationals,Yes
Ann Whitmarsh,F,SBD,Raw,65.5,65-69,60-69,FR-M3,61.42,63,70,77.5,-80,,77.5,35,37.5,-40,,37.5,90,97.5,-102.5,,97.5,212.5,3,232.14,232.68,205.52,47.27,Yes,USA,FL,USAPL,IPF,10/16/2019,USA,IL,Lombard,Raw Nationals,Yes
Bonnie Boettcher,F,SBD,Raw,68.5,65-69,60-69,FR-M3,61.9,63,32.5,35,37.5,,37.5,30,-32.5,32.5,,32.5,65,72.5,-80,,72.5,142.5,5,154.92,155.1,136.99,31.54,Yes,USA,GA,USAPL,IPF,10/16/2019,USA,IL,Lombard,Raw Nationals,Yes
Christine Harms,F,SBD,Raw,66.5,65-69,60-69,FR-M3,66.89,72,72.5,80,82.5,,82.5,37.5,42.5,-45,,42.5,110,125,132.5,,132.5,257.5,3,267.24,264.53,233.39,54.3,Yes,USA,MO,USAPL,IPF,10/16/2019,USA,IL,Lombard,Raw Nationals,Yes
Jill McLaughlin,F,SBD,Raw,66.5,65-69,60-69,FR-M3,80.54,84,85,97.5,103,,103,62.5,-67.5,67.5,,67.5,130,140,142.5,,142.5,313,4,293.94,285.34,250.14,60.13,Yes,USA,CO,USAPL,IPF,10/16/2019,USA,IL,Lombard,Raw Nationals,Yes
Linda Gorham,F,SBD,Raw,67,65-69,60-69,FR-M3,83.36,84,-87.5,90,100,,100,57.5,60,-65,,60,125,132.5,140,,140,300,5,277.05,268.55,234.91,56.83,Yes,USA,MD,USAPL,IPF,10/16/2019,USA,IL,Lombard,Raw Nationals,Yes
Margaret Batcheler,F,SBD,Raw,67.5,65-69,60-69,FR-M3,79.63,84,107.5,-112.5,-112.5,,107.5,52.5,57.5,-60,,57.5,110,117.5,122.5,,122.5,287.5,7,271.52,263.75,231.36,55.5,Yes,USA,NH,USAPL,IPF,10/16/2019,USA,IL,Lombard,Raw Nationals,Yes
Sonya Stevenson,F,SBD,Raw,67.5,65-69,60-69,FR-M3,92.3,84+,95,100,105,,105,60,65,67.5,,67.5,120,130,135,,135,307.5,4,271.15,263.04,228.06,56.16,Yes,USA,MO,USAPL,IPF,10/16/2019,USA,IL,Lombard,Raw Nationals,Yes
Katherine Evert,F,SBD,Raw,69.5,65-69,70-999,FR-M4,76.13,84,57.5,-62.5,62.5,,62.5,40,45,-47.5,,45,90,97.5,102.5,,102.5,210,2,202.94,197.8,173.89,41.37,Yes,USA,MO,USAPL,IPF,10/16/2019,USA,IL,Lombard,Raw Nationals,Yes
Lori Hartle,F,SBD,Raw,65.5,65-69,60-69,FR-M,98.99,,97.5,-105,111,,111,57.5,60,-62.5,,60,125,132.5,140,,140,311,11,266.45,259.72,223.4,55.62,Yes,USA,MD,USAPL,,3/1/2024,USA,OH,,Arnold Masters of Iron,Yes
Sandra Kasabuske,F,SBD,Raw,67.5,65-69,60-69,FR-M,64.4,72,52.5,60,-65,,60,27.5,32.5,37.5,,37.5,82.5,90,97.5,,97.5,195,3,206.96,205.99,181.84,42.07,Yes,USA,WI,USAPL,IPF,1/16/2016,USA,WI,,Wisconsin State Open,Yes
Sandra Kasabuske,F,SBD,Raw,67.5,65-69,60-69,FR-O,64.4,72,52.5,60,-65,,60,27.5,32.5,37.5,,37.5,82.5,90,97.5,,97.5,195,15,206.96,205.99,181.84,42.07,Yes,USA,WI,USAPL,IPF,1/16/2016,USA,WI,,Wisconsin State Open,Yes
Elaine Ostrander,F,B,Raw,65,65-69,60-69,FR-M,96.76,,,,,,,35,42.5,-47.5,,42.5,,,,,,42.5,5,36.74,35.75,30.83,30.84,Yes,USA,MD,USAPL,,3/1/2024,USA,OH,,Arnold Masters of Iron Bench,Yes
Gretchen Herrmann,F,B,Raw,65.5,65-69,60-69,FR-M,129.2,100+,,,,,,60,72.5,82.5,,82.5,,,,,,82.5,1,64.96,65.11,54.97,58.34,Yes,USA,WI,USAPL,,1/21/2023,USA,WI,,Wisconsin State Open,Yes
Lynn Waishwell,F,SBD,Raw,69.5,65-69,70-999,FR-M,100,100,-25,-25,25,,25,30,32.5,35,,35,-75,80,-85,,80,140,2,119.47,116.56,100.13,24.97,Yes,USA,WI,USAPL,,1/21/2023,USA,WI,,Wisconsin State Open,Yes
Susan Elwyn,F,SBD,Raw,67.5,65-69,60-69,FR-O,46.5,47,75,85,88,,88,37.5,42.5,45,,45,110,118,,,118,251,10,331.57,340.17,303.5,70.32,Yes,USA,FL,USAPL,IPF,10/15/2015,USA,PA,Scranton,Raw Nationals,Yes
Susan Elwyn,F,SBD,Raw,67.5,65-69,60-69,FR-M3b,46.5,47,75,85,88,,88,37.5,42.5,45,,45,110,118,,,118,251,1,331.57,340.17,303.5,70.32,Yes,USA,FL,USAPL,IPF,10/15/2015,USA,PA,Scranton,Raw Nationals,Yes
Maxine Fredericks,F,SBD,Raw,68.5,65-69,60-69,FR-M3b,51.9,52,-30,-30,-32.5,,,32.5,37.5,40,,40,65,75,85,,85,,DQ,,,,,Yes,USA,GA,USAPL,IPF,10/15/2015,USA,PA,Scranton,Raw Nationals,Yes
Leslie Macko,F,SBD,Raw,65,65-69,60-69,FR-M3b,61.7,63,-60,-60,60,,60,35,37.5,-40,,37.5,82.5,92.5,-97.5,,92.5,190,2,206.98,207.32,183.11,42.14,Yes,USA,WA,USAPL,IPF,10/15/2015,USA,PA,Scranton,Raw Nationals,Yes
Pat Kroken,F,SBD,Raw,67.5,65-69,60-69,FR-M3b,82.6,84,70,77.5,85,,85,25,,,,25,90,95,-102.5,,95,205,1,190.16,184.38,161.38,38.97,Yes,USA,NM,USAPL,IPF,10/15/2015,USA,PA,Scranton,Raw Nationals,Yes
Kate Walker,F,SBD,Raw,66,65-69,60-69,FR-M3,70.8,72,65,-70,72.5,,72.5,47.5,50,-52.5,,50,100,107.5,115,,115,237.5,1,238.66,234.44,206.6,48.52,Yes,USA,,USAPL,IPF,7/25/2015,USA,CO,,Rocky Mountain State Games,Yes
Paulette Calhoun,F,B,Raw,65.5,65-69,60-69,FR-M3,98.8,100,,,,,,77.5,80,82.5,,82.5,,,,,,82.5,1,70.73,68.94,59.31,59.68,Yes,USA,TX,USAPL,,3/16/2024,USA,TX,,Military Fire and Police National Championship,Yes
Paulette Calhoun,F,B,Raw,65.5,65-69,60-69,FR-PF,98.8,100,,,,,,77.5,80,82.5,,82.5,,,,,,82.5,1,70.73,68.94,59.31,59.68,Yes,USA,TX,USAPL,,3/16/2024,USA,TX,,Military Fire and Police National Championship,Yes
Alma Kimura,F,SBD,Raw,67.5,65-69,60-69,FR-M3,66.1,67.5,102.5,110,-115,,110,47.5,50,52.5,,52.5,130,137.5,145,,145,307.5,1,321.36,318.64,281.18,65.3,Yes,USA,WA,USAPL,,4/30/2022,USA,WA,,Washington Ladies of Iron,Yes
Deborah Baker,F,SBD,Raw,69.5,65-69,70-999,FR-M4,71.7,75,52.5,55,57.5,,57.5,27.5,30,32.5,,32.5,70,75,77.5,,77.5,167.5,1,167.14,163.94,144.43,33.99,Yes,USA,WA,USAPL,,4/30/2022,USA,WA,,Washington Ladies of Iron,Yes
Molly Douce,F,BD,Raw,65.5,65-69,60-69,FR-M3,81.7,82.5,,,,,,55,60,62.5,,62.5,110,120,-127.5,,120,182.5,1,170.19,165.09,144.6,,Yes,USA,WA,USAPL,,4/30/2022,USA,WA,,Washington Ladies of Iron,Yes
Leslie Macko,F,SBD,Raw,67,65-69,60-69,FR-M3b,62.2,63,-60,60,65,,65,37.5,40,-42.5,,40,82.5,87.5,-95,,87.5,192.5,1,208.66,208.75,184.36,42.47,Yes,USA,WA,USAPL,IPF,3/18/2017,USA,WA,,Washington State Championships,Yes
Ellen Loftus,F,SBD,Raw,65.5,65-69,60-69,FR-M3,69.15,75,-107.5,-107.5,107.5,,107.5,52.5,55,57.5,,57.5,105,115,122.5,,122.5,287.5,1,292.74,288.45,254.34,59.49,Yes,USA,MA,USAPL,,10/7/2023,USA,NY,,Culnan Classic,Yes
Leslie Macko,F,SBD,Single-ply,69,65-69,70-999,F-M4,62.33,63,60,70,75,,75,37.5,42.5,45,,45,95,100,105,,105,225,1,243.58,243.61,215.14,40.87,Yes,USA,WA,USAPL,IPF,5/10/2019,USA,IL,,Open Nationals,Yes
Lenore Gelb,F,B,Raw,68,65-69,60-69,FR-M3b,60.4,63,,,,,,-40,40,-42.5,,40,,,,,,40,1,44.16,44.37,39.2,34.22,Yes,USA,MD,USAPL,IPF,12/1/2018,USA,MD,,Maryland Bench Open,Yes
Ellen Loftus,F,SBD,Raw,65.5,65-69,60-69,FR-M,68,75,95,100,105,,105,55,57.5,-60,,57.5,107.5,112.5,-117.5,,112.5,275,1,282.7,279.2,246.26,57.44,Yes,USA,MA,USAPL,,10/28/2023,USA,MA,,Western MASSacre,Yes
